[2025-01-24 00:06:44,379 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=43, shift=preds_0
[2025-01-24 00:06:44,811 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=44, shift=preds_0
[2025-01-24 00:06:45,268 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=45, shift=preds_0
[2025-01-24 00:06:46,066 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=46, shift=preds_0
[2025-01-24 00:06:48,220 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=47, shift=preds_0
[2025-01-24 00:06:48,644 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=48, shift=preds_0
[2025-01-24 00:06:49,111 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=49, shift=preds_0
[2025-01-24 00:06:52,003 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=50, shift=preds_0
[2025-01-24 00:06:52,438 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=51, shift=preds_0
[2025-01-24 00:06:52,906 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=52, shift=preds_0
[2025-01-24 00:06:53,380 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=53, shift=preds_0
[2025-01-24 00:06:53,859 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=54, shift=preds_0
[2025-01-24 00:06:55,829 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=55, shift=preds_0
[2025-01-24 00:06:56,285 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=56, shift=preds_0
[2025-01-24 00:06:56,707 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=57, shift=preds_0
[2025-01-24 00:06:57,181 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=58, shift=preds_0
[2025-01-24 00:06:57,617 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=59, shift=preds_0
[2025-01-24 00:06:58,043 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=60, shift=preds_0
[2025-01-24 00:06:58,489 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=61, shift=preds_0
[2025-01-24 00:06:58,909 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=62, shift=preds_0
[2025-01-24 00:06:59,317 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=63, shift=preds_0
[2025-01-24 00:06:59,773 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=64, shift=preds_0
